 , , OBJECT 1, , , , , , , OBJECT 2,,,,,,,,,,,,,,,,
t, , x1, y1, vx1, vy1, ax1, ay1, , x2, y2, vx2, vy2, ax2, ay2,,,,,,,,,,,
0.148, ,0.74204,-0.474378,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.149, ,0.74604,-0.472178,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.15, ,0.75004,-0.469978,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.151, ,0.75404,-0.467778,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.152, ,0.75804,-0.465578,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.153, ,0.76204,-0.463378,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.154, ,0.76604,-0.461178,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.155, ,0.77004,-0.458978,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.156, ,0.77404,-0.456778,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.157, ,0.77804,-0.454578,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.158, ,0.78204,-0.452378,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.159, ,0.78604,-0.450178,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.16, ,0.79004,-0.447978,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.161, ,0.79404,-0.445778,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.162, ,0.79804,-0.443578,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.163, ,0.80204,-0.441378,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.164, ,0.80604,-0.439178,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
